schedule,sigma,mse,mode_error
hang_laplace_lambda_b0.5,0.019610845975494787,0.050797607749700546,0.0
hang_laplace_lambda_b0.5,0.02159143556552824,0.03892062231898308,0.0
hang_laplace_lambda_b0.5,0.023772054013523794,0.03551005572080612,0.0
hang_laplace_lambda_b0.5,0.02617290315443958,0.03434359282255173,0.0
hang_laplace_lambda_b0.5,0.028816225099520986,0.031055185943841934,0.0
hang_laplace_lambda_b0.5,0.03172650829319295,0.021903056651353836,0.0
hang_laplace_lambda_b0.5,0.03493071438058602,0.019299358129501343,0.0
hang_laplace_lambda_b0.5,0.038458527987457976,0.02918761968612671,0.0
hang_laplace_lambda_b0.5,0.04234263172653941,0.04916856437921524,0.0
hang_laplace_lambda_b0.5,0.04661900897803576,0.06392902880907059,0.0
hang_laplace_lambda_b0.5,0.0513272772493256,0.07560290396213531,0.0
hang_laplace_lambda_b0.5,0.05651105520218928,0.08643823862075806,0.0
hang_laplace_lambda_b0.5,0.062218366747806474,0.10768751800060272,0.0
hang_laplace_lambda_b0.5,0.0685020859531673,0.13309288024902344,0.0
hang_laplace_lambda_b0.5,0.07542042688062935,0.14892975986003876,0.0
hang_laplace_lambda_b0.5,0.0830374828986263,0.18467527627944946,0.001953125
hang_laplace_lambda_b0.5,0.09142382045984675,0.2503798007965088,0.001953125
hang_laplace_lambda_b0.5,0.10065713284780411,0.323340505361557,0.001953125
hang_laplace_lambda_b0.5,0.11082295994828163,0.3374353349208832,0.00390625
hang_laplace_lambda_b0.5,0.12201548071380787,0.29360002279281616,0.0
hang_laplace_lambda_b0.5,0.13433838566276676,0.2931005656719208,0.001953125
hang_laplace_lambda_b0.5,0.14790583749620875,0.3371788263320923,0.005859375
hang_laplace_lambda_b0.5,0.16284352873177418,0.37150001525878906,0.005859375
hang_laplace_lambda_b0.5,0.1792898461529342,0.4254838824272156,0.00390625
hang_laplace_lambda_b0.5,0.19739715286132026,0.4700872302055359,0.001953125
hang_laplace_lambda_b0.5,0.21733319980941776,0.4666476547718048,0.00390625
hang_laplace_lambda_b0.5,0.23928267989044386,0.35520097613334656,0.005859375
hang_laplace_lambda_b0.5,0.2634489389829135,0.2750004827976227,0.005859375
hang_laplace_lambda_b0.5,0.290055859801471,0.2019040435552597,0.0
hang_laplace_lambda_b0.5,0.3193499360064882,0.16157914698123932,0.0
hang_laplace_lambda_b0.5,0.35160255578753474,0.1449403464794159,0.0
hang_laplace_lambda_b0.5,0.3871125160764548,0.15403226017951965,0.001953125
hang_laplace_lambda_b0.5,0.4262087906823923,0.15203677117824554,0.001953125
hang_laplace_lambda_b0.5,0.46925357799351164,0.16684705018997192,0.001953125
hang_laplace_lambda_b0.5,0.5166456564801436,0.215803861618042,0.00390625
